table	factor_level	PT	PTT
vitk	100	13.6	28.6
vitk	90	14	30.1
vitk	80	14.5	31.2
vitk	70	15.1	33.1
vitk	60	16	34.3
vitk	50	16.9	39.4
vitk	40	18.6	45.1
vitk	30	20.8	47.8
vitk	20	24.7	52.4
vitk	10	32.9	57
vitk	6	75.8	77.9
allfactors	100	13.3	29.6
allfactors	90	14	30.7
allfactors	80	14.6	31.8
allfactors	70	15.5	33.1
allfactors	60	17	37.8
allfactors	50	19.1	53.3
allfactors	40	22.6	55.2
allfactors	30	28.5	74.4
allfactors	20	39	110.4
allfactors	10	86	200
F2	82	13.7	29.4
F2	61	14.1	29.6
F2	51	14.3	30
F2	41	14.4	30.5
F2	31	15.4	31.1
F2	20	17	32.3
F2	10	20.1	34
F2	1	52.5	60.1
F5	73	13.7	29.7
F5	55	14.4	303
F5	46	14.9	30.8
F5	36	15.4	31.7
F5	27	16.3	33.2
F5	18	17.9	35.9
F5	9	20.7	41
F5	1	33.6	68.5
F7	89	13.4	29
F7	67	14.2	29
F7	56	14.4	29
F7	44	15.1	29
F7	33	15.6	29
F7	22	16.6	29
F7	11	19.2	29
F7	1	30.8	29
F10	78	13.7	29.3
F10	59	14.7	30.7
F10	49	15	30.9
F10	39	15.9	31.8
F10	29	17.1	33.2
F10	20	19.2	35
F10	10	23.8	39.2
F10	1	54.3	60.4
F8	102	13.8	29.8
F8	77	13.8	31.4
F8	64	13.8	32.2
F8	51	13.8	33.7
F8	38	13.8	35.4
F8	26	13.8	38.3
F8	13	13.8	43.4
F8	1	13.8	61
F9	113	13.8	29.2
F9	85	13.8	30.9
F9	71	13.8	31.6
F9	56	13.8	32.7
F9	42	13.8	34.6
F9	28	13.8	36.4
F9	14	13.8	41.1
F9	1	13.8	59.3
F11	95	13.8	29.3
F11	71	13.8	30.8
F11	60	13.8	31.8
F11	48	13.8	33
F11	36	13.8	34.7
F11	24	13.8	37
F11	12	13.8	41.7
F11	1	13.8	58.1
F12	138	13.8	29.2
F12	103	13.8	30.8
F12	86	13.8	31.5
F12	69	13.8	32.8
F12	52	13.8	34.6
F12	34	13.8	37.7
F12	17	13.8	44
F12	2	13.8	97.3
PS	95	13.6	28.6
PS	91	14	30.1
PS	87	14.5	31.2
PS	83	15.1	33.1
PS	77	16	34.3
PS	72	16.9	39.4
PS	64	18.6	45.1
PS	56	20.8	47.8
PS	45	24.7	52.4
PS	32	32.9	57
